,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"RACE_White, NUMBER DOSES_2, TREAT ORAL_0, VACCINATED_1",LONG COVID_1,0.38298342541436464,0.32632044198895027,0.1150939226519337,0.3005193306405078,0.920933205437016,-0.009881398003723937,0.9631139036736094
1,"RACE_White, NUMBER DOSES_2, TREAT ORAL_0",LONG COVID_1,0.38298342541436464,0.32632044198895027,0.1150939226519337,0.3005193306405078,0.920933205437016,-0.009881398003723937,0.9631139036736094
2,"RACE_White, NUMBER DOSES_2, TREAT MONO_0, TREAT ORAL_0",LONG COVID_1,0.3817900552486188,0.32632044198895027,0.11474033149171271,0.30053253067839775,0.9209736565892929,-0.009845568084002318,0.9631320791293357
3,"NUMBER DOSES_2, TREAT MONO_0",LONG COVID_1,0.5118232044198895,0.32632044198895027,0.15624309392265193,0.30526770293609673,0.9354844614559378,-0.010775280363847256,0.9696966167517658
4,"NUMBER DOSES_2, TREAT MONO_0, VACCINATED_1",LONG COVID_1,0.5118232044198895,0.32632044198895027,0.15624309392265193,0.30526770293609673,0.9354844614559378,-0.010775280363847256,0.9696966167517658
5,"NUMBER DOSES_2, VACCINATED_1",LONG COVID_1,0.5144309392265194,0.32632044198895027,0.15712707182320443,0.30543861156456736,0.9360082062370766,-0.010742259637984197,0.9699352270770172
6,NUMBER DOSES_2,LONG COVID_1,0.5144309392265194,0.32632044198895027,0.15712707182320443,0.30543861156456736,0.9360082062370766,-0.010742259637984197,0.9699352270770172
7,"RACE_White, VACCINATED_1",LONG COVID_1,0.6274917127071823,0.32632044198895027,0.19270718232044198,0.30710713531027684,0.9411213512657475,-0.012056190714569148,0.97227088391612
8,"RACE_White, TREAT MONO_0, VACCINATED_1",LONG COVID_1,0.6243977900552486,0.32632044198895027,0.19186740331491714,0.30728392440008495,0.9416631165585699,-0.01188635951283537,0.9725190186002554
9,"NUMBER DOSES_2, TREAT ORAL_0",LONG COVID_1,0.49675138121546963,0.32632044198895027,0.1541657458563536,0.3103478957202598,0.9510525722160202,-0.007934384420499985,0.976839704875008
10,"NUMBER DOSES_2, TREAT ORAL_0, VACCINATED_1",LONG COVID_1,0.49675138121546963,0.32632044198895027,0.1541657458563536,0.3103478957202598,0.9510525722160202,-0.007934384420499985,0.976839704875008
11,"NUMBER DOSES_2, TREAT MONO_0, TREAT ORAL_0, VACCINATED_1",LONG COVID_1,0.49498342541436463,0.32632044198895027,0.1536353591160221,0.31038485579069564,0.9511658353331287,-0.007887851042397948,0.9768920588069074
12,"NUMBER DOSES_2, TREAT MONO_0, TREAT ORAL_0",LONG COVID_1,0.49498342541436463,0.32632044198895027,0.1536353591160221,0.31038485579069564,0.9511658353331287,-0.007887851042397948,0.9768920588069074
13,"RACE_White, TREAT ORAL_0, VACCINATED_1",LONG COVID_1,0.6043314917127072,0.32632044198895027,0.1887292817679558,0.3122943026402399,0.9570172825728603,-0.008476437715576435,0.9796044450372309
