,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"BIRTH GENDER_F, TREAT MONO_0, BOOSTER_0, TREAT ORAL_0",LONG COVID_0,0.24322651933701658,0.6736795580110497,0.134939226519337,0.554788297292386,0.8235195660832064,-0.028917507524190367,0.7329556703123239
1,"BIRTH GENDER_F, BOOSTER_0, TREAT ORAL_0",LONG COVID_0,0.2438453038674033,0.6736795580110497,0.135292817679558,0.5548305238354178,0.8235822465408953,-0.02898077885290437,0.733025194809869
2,"BIRTH GENDER_F, BOOSTER_0",LONG COVID_0,0.24720441988950276,0.6736795580110497,0.13732596685082873,0.5555158233506169,0.8245994950339658,-0.029210597478709438,0.7341553628496376
3,"BOOSTER_0, BIRTH GENDER_F, CURRENT GENDER_F, TREAT ORAL_0",LONG COVID_0,0.23725966850828728,0.6736795580110497,0.1318453038674033,0.5557004470938898,0.824873547795516,-0.027991684747107837,0.7344604329545851
4,"BIRTH GENDER_F, TREAT MONO_0, BOOSTER_0",LONG COVID_0,0.2461436464088398,0.6736795580110497,0.13679558011049725,0.5557550727240079,0.8249546332752054,-0.029026362809438044,0.7345507443154665
5,"BOOSTER_0, TREAT MONO_0, CURRENT GENDER_F, TREAT ORAL_0",LONG COVID_0,0.23695027624309392,0.6736795580110497,0.13171270718232045,0.5558664428278307,0.8251199494147533,-0.02791585018772319,0.7347349388923825
6,"CURRENT GENDER_F, BOOSTER_0, TREAT ORAL_0",LONG COVID_0,0.23756906077348067,0.6736795580110497,0.13206629834254144,0.5559069767441861,0.8251801173623678,-0.027979121516437222,0.7348020007082564
7,"BOOSTER_0, BIRTH GENDER_F, CURRENT GENDER_F",LONG COVID_0,0.2403977900552486,0.6736795580110497,0.13379005524861878,0.5565361279646994,0.8261140201549222,-0.028161021702634237,0.7358444792611528
8,"BOOSTER_0, BIRTH GENDER_F, TREAT MONO_0, CURRENT GENDER_F",LONG COVID_0,0.23942541436464088,0.6736795580110497,0.1332596685082873,0.5565811334687096,0.8261808256613014,-0.028036338817496398,0.7359191649684195
9,"BOOSTER_0, CURRENT GENDER_F",LONG COVID_0,0.240707182320442,0.6736795580110497,0.1340110497237569,0.5567388909291223,0.8264149985088173,-0.028148458471963622,0.7361810799800428
10,"TREAT MONO_0, BOOSTER_0, CURRENT GENDER_F",LONG COVID_0,0.23973480662983426,0.6736795580110497,0.13348066298342542,0.5567846607669616,0.8264829385810594,-0.028023775586825783,0.7362571037221574
11,"SYMPTOM SEVERITY_MODERATE, TREAT MONO_0, CURRENT GENDER_F, TREAT ORAL_0",LONG COVID_0,0.2572375690607735,0.6736795580110497,0.14784530386740333,0.5747422680412371,0.8531389459672608,-0.02545038796129545,0.7673474635861375
12,"SYMPTOM SEVERITY_MODERATE, CURRENT GENDER_F, TREAT ORAL_0",LONG COVID_0,0.258475138121547,0.6736795580110497,0.14868508287292817,0.5752393980848153,0.8538768784719162,-0.025444333933640623,0.76824554941682
13,"BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE, CURRENT GENDER_F, TREAT ORAL_0",LONG COVID_0,0.2582099447513812,0.6736795580110497,0.1485524861878453,0.5753166723724752,0.8539915832848216,-0.02539827526632274,0.7683853374040498
14,"BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE, TREAT MONO_0, TREAT ORAL_0",LONG COVID_0,0.26351381215469616,0.6736795580110497,0.151646408839779,0.5754780275075477,0.8542310964675415,-0.025877459662403485,0.7686773904141134
15,"BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE, TREAT ORAL_0",LONG COVID_0,0.26479558011049725,0.6736795580110497,0.15253038674033148,0.5760307127357702,0.8550514942689149,-0.025856982631787817,0.7696794362030711
16,"SYMPTOM SEVERITY_MODERATE, TREAT MONO_0, CURRENT GENDER_F",LONG COVID_0,0.2668729281767956,0.6736795580110497,0.15500552486187846,0.5808214640609474,0.862162814878555,-0.0247813114373798,0.7784760287353939
17,"BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE, TREAT MONO_0, CURRENT GENDER_F",LONG COVID_0,0.26660773480662986,0.6736795580110497,0.15487292817679557,0.5809018567639257,0.8622821486211665,-0.024735252770062,0.7786253584166725
18,"SYMPTOM SEVERITY_MODERATE, CURRENT GENDER_F",LONG COVID_0,0.26850828729281767,0.6736795580110497,0.15611049723756906,0.5813991769547325,0.8630203633775635,-0.024778047068160308,0.7795504070321955
19,"BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE, CURRENT GENDER_F",LONG COVID_0,0.26824309392265194,0.6736795580110497,0.1559779005524862,0.5814796506838029,0.863139817394111,-0.024731988400842453,0.7797003001696611
20,"BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE, TREAT MONO_0",LONG COVID_0,0.27350276243093924,0.6736795580110497,0.1591160220994475,0.5817711700064641,0.8635725443771322,-0.025137198009828776,0.7802437770585873
21,"BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE",LONG COVID_0,0.2751823204419889,0.6736795580110497,0.16026519337016576,0.5823964021843882,0.864500629800668,-0.02511951063764839,0.7814119507012326
22,"SYMPTOM SEVERITY_MODERATE, VACCINATED_1, CURRENT GENDER_F, TREAT ORAL_0",LONG COVID_0,0.22426519337016573,0.6736795580110497,0.1310939226519337,0.5845486795427671,0.8676954385681083,-0.019988953694942135,0.7854601151100256
23,"RACE_White, SYMPTOM SEVERITY_MODERATE, CURRENT GENDER_F, TREAT ORAL_0",LONG COVID_0,0.19244198895027625,0.6736795580110497,0.11261878453038673,0.585209003215434,0.8686756132888857,-0.01702544952840268,0.7867105229346009
24,"BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE, TREAT ORAL_0, VACCINATED_1",LONG COVID_0,0.22970165745856352,0.6736795580110497,0.13445303867403316,0.5853376948239369,0.8688666412145107,-0.02029227239705747,0.7869546807501507
25,"RACE_White, BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE, TREAT ORAL_0",LONG COVID_0,0.19668508287292819,0.6736795580110497,0.11549171270718232,0.5871910112359551,0.8716176767624645,-0.01701100699001863,0.7904877337239133
26,"SYMPTOM SEVERITY_MODERATE, TREAT MONO_0, CURRENT GENDER_F, VACCINATED_1",LONG COVID_0,0.23230939226519337,0.6736795580110497,0.13706077348066298,0.5899923896499238,0.8757760015634121,-0.019441315222368055,0.7958887438950916
27,"SYMPTOM SEVERITY_MODERATE, CURRENT GENDER_F, VACCINATED_1",LONG COVID_0,0.23385635359116022,0.6736795580110497,0.13812154696132597,0.5906255906255906,0.8767159157527875,-0.019422697964042612,0.7971197869637746
28,"BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE, CURRENT GENDER_F, VACCINATED_1",LONG COVID_0,0.23359116022099446,0.6736795580110497,0.13798895027624308,0.590728476821192,0.8768686385040985,-0.019376639296724757,0.7973201737917716
29,"BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE, TREAT MONO_0, VACCINATED_1",LONG COVID_0,0.23805524861878452,0.6736795580110497,0.14068508287292816,0.590976606015596,0.8772369578206836,-0.019687871798785145,0.7978038586257313
30,"BIRTH GENDER_F, SYMPTOM SEVERITY_MODERATE, VACCINATED_1",LONG COVID_0,0.239646408839779,0.6736795580110497,0.1417900552486188,0.5916635927701955,0.8782567108270354,-0.019654831537498835,0.7991460869304826
