,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"SYMPTOM SEVERITY_MODERATE, BIRTH GENDER_F",LONG COVID_0,0.2502128384130768,0.7243742550655542,0.15596798910267326,0.6233412725416809,0.8605237806046406,-0.02527974933063712,0.7317651891258685
1,"SYMPTOM SEVERITY_MODERATE, BIRTH GENDER_F, CURRENT GENDER_F",LONG COVID_0,0.24374255065554232,0.7243742550655542,0.15239230376298316,0.6252183024799162,0.8631150239089258,-0.024168524795903423,0.7354301097365502
2,"SYMPTOM SEVERITY_MODERATE, CURRENT GENDER_F",LONG COVID_0,0.24433849821215733,0.7243742550655542,0.15281798058913673,0.6254355400696864,0.86341492080373,-0.02417453703713099,0.7358566399645203
3,"SYMPTOM SEVERITY_MODERATE, BIRTH GENDER_F, RACE_White",LONG COVID_0,0.19278903456495827,0.7243742550655542,0.12144559850161757,0.6299403841907706,0.869633866451759,-0.01820581479618147,0.7448144384296569
4,"SYMPTOM SEVERITY_MODERATE, BIRTH GENDER_F, VACCINATED_1",LONG COVID_0,0.21854248254725012,0.7243742550655542,0.13783415630853058,0.6306973120373979,0.8706788067451696,-0.020472391686810615,0.7463410203024501
5,"CURRENT GENDER_F, SYMPTOM SEVERITY_MODERATE, BIRTH GENDER_F, RACE_White",LONG COVID_0,0.18853226630342243,0.7243742550655542,0.11910437595777286,0.6317453149695191,0.8721255767329109,-0.017463544001589434,0.748465005711012
6,"CURRENT GENDER_F, RACE_White, SYMPTOM SEVERITY_MODERATE",LONG COVID_0,0.18904307849480675,0.7243742550655542,0.11944491741869573,0.6318396757487053,0.8722558419632476,-0.017493021741279008,0.7486568399106261
7,"SYMPTOM SEVERITY_MODERATE, VACCINATED_1, BIRTH GENDER_F, CURRENT GENDER_F",LONG COVID_0,0.21300868380725355,0.7243742550655542,0.13485441852545546,0.6330935251798561,0.8739867834239395,-0.019443588129918005,0.7512152656056463
8,"CURRENT GENDER_F, VACCINATED_1, SYMPTOM SEVERITY_MODERATE",LONG COVID_0,0.21360463136386856,0.7243742550655542,0.13528009535160906,0.6333200478278198,0.8742994983587673,-0.019449600371145542,0.7516793413483961
9,"SYMPTOM SEVERITY_MODERATE, NUMBER DOSES_1.0, BIRTH GENDER_F",LONG COVID_0,0.20602758385833475,0.7243742550655542,0.13081048867699643,0.6349173553719009,0.8765045843801313,-0.01843058890334079,0.7549680845968975
