,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"NUMBER DOSES_2, RACE_White, TREAT ORAL_0",LONG COVID_1,0.38298342541436464,0.32632044198895027,0.1150939226519337,0.3005193306405078,0.920933205437016,-0.009881398003723937,0.9631139036736094
1,"RACE_White, NUMBER DOSES_2, VACCINATED_1, TREAT ORAL_0",LONG COVID_1,0.38298342541436464,0.32632044198895027,0.1150939226519337,0.3005193306405078,0.920933205437016,-0.009881398003723937,0.9631139036736094
2,"TREAT MONO_0, RACE_White, NUMBER DOSES_2, TREAT ORAL_0",LONG COVID_1,0.3817900552486188,0.32632044198895027,0.11474033149171271,0.30053253067839775,0.9209736565892929,-0.009845568084002318,0.9631320791293357
3,"TREAT MONO_0, NUMBER DOSES_2, VACCINATED_1",LONG COVID_1,0.5118232044198895,0.32632044198895027,0.15624309392265193,0.30526770293609673,0.9354844614559378,-0.010775280363847256,0.9696966167517658
4,"TREAT MONO_0, NUMBER DOSES_2",LONG COVID_1,0.5118232044198895,0.32632044198895027,0.15624309392265193,0.30526770293609673,0.9354844614559378,-0.010775280363847256,0.9696966167517658
5,"NUMBER DOSES_2, VACCINATED_1",LONG COVID_1,0.5144309392265194,0.32632044198895027,0.15712707182320443,0.30543861156456736,0.9360082062370766,-0.010742259637984197,0.9699352270770172
6,NUMBER DOSES_2,LONG COVID_1,0.5144309392265194,0.32632044198895027,0.15712707182320443,0.30543861156456736,0.9360082062370766,-0.010742259637984197,0.9699352270770172
7,"RACE_White, VACCINATED_1",LONG COVID_1,0.6274917127071823,0.32632044198895027,0.19270718232044198,0.30710713531027684,0.9411213512657475,-0.012056190714569148,0.97227088391612
8,"TREAT MONO_0, RACE_White, VACCINATED_1",LONG COVID_1,0.6243977900552486,0.32632044198895027,0.19186740331491714,0.30728392440008495,0.9416631165585699,-0.01188635951283537,0.9725190186002554
9,"NUMBER DOSES_2, TREAT ORAL_0",LONG COVID_1,0.49675138121546963,0.32632044198895027,0.1541657458563536,0.3103478957202598,0.9510525722160202,-0.007934384420499985,0.976839704875008
10,"NUMBER DOSES_2, VACCINATED_1, TREAT ORAL_0",LONG COVID_1,0.49675138121546963,0.32632044198895027,0.1541657458563536,0.3103478957202598,0.9510525722160202,-0.007934384420499985,0.976839704875008
11,"TREAT MONO_0, VACCINATED_1, NUMBER DOSES_2, TREAT ORAL_0",LONG COVID_1,0.49498342541436463,0.32632044198895027,0.1536353591160221,0.31038485579069564,0.9511658353331287,-0.007887851042397948,0.9768920588069074
12,"TREAT MONO_0, NUMBER DOSES_2, TREAT ORAL_0",LONG COVID_1,0.49498342541436463,0.32632044198895027,0.1536353591160221,0.31038485579069564,0.9511658353331287,-0.007887851042397948,0.9768920588069074
13,"RACE_White, VACCINATED_1, TREAT ORAL_0",LONG COVID_1,0.6043314917127072,0.32632044198895027,0.1887292817679558,0.3122943026402399,0.9570172825728603,-0.008476437715576435,0.9796044450372309
14,"TREAT MONO_0, RACE_White, VACCINATED_1, TREAT ORAL_0",LONG COVID_1,0.6020773480662983,0.32632044198895027,0.18811049723756906,0.31243576567317577,0.9574507921381012,-0.008359649094960453,0.9798059939383429
15,RACE_White,LONG COVID_1,0.7350276243093923,0.32632044198895027,0.2321767955801105,0.3158749248346362,0.9679900005937483,-0.00767774365861848,0.9847315680516618
16,"TREAT MONO_0, RACE_White",LONG COVID_1,0.7316685082872928,0.32632044198895027,0.23124861878453037,0.316056542225444,0.9685465620819004,-0.007509772229174927,0.9849930580564314
17,"TREAT MONO_0, VACCINATED_1",LONG COVID_1,0.8524198895027625,0.32632044198895027,0.27195580110497236,0.3190397179301047,0.9776884218026032,-0.006206233997741228,0.989308151663832
18,VACCINATED_1,LONG COVID_1,0.8574585635359117,0.32632044198895027,0.2736353591160221,0.3191237113402062,0.9779458172927218,-0.006170898324227014,0.9894301934600926
19,"RACE_White, TREAT ORAL_0",LONG COVID_1,0.7109834254143647,0.32632044198895027,0.22797790055248618,0.3206514981971901,0.9826276780050691,-0.004030525075547159,0.9916553230385932
20,"TREAT MONO_0, RACE_White, TREAT ORAL_0",LONG COVID_1,0.7085524861878453,0.32632044198895027,0.22731491712707183,0.32081591915663404,0.9831315415032975,-0.0039002433381154222,0.9918953889121177
21,"TREAT MONO_0, VACCINATED_1, TREAT ORAL_0",LONG COVID_1,0.8237790055248618,0.32632044198895027,0.26665193370165746,0.3236935293486426,0.9919498986202139,-0.002163995482433345,0.9961157954946407
22,"VACCINATED_1, TREAT ORAL_0",LONG COVID_1,0.8273591160220994,0.32632044198895027,0.2678453038674033,0.3237352422672151,0.9920777267094327,-0.0021388885565153948,0.9961772372548257
23,TREAT MONO_0,LONG COVID_1,0.9944309392265194,0.32632044198895027,0.3244198895027624,0.3262367216320725,0.9997434412739592,-8.32541131223219e-05,0.9998757421789437
24,"TREAT MONO_0, TREAT ORAL_0",LONG COVID_1,0.9645966850828729,0.32632044198895027,0.3187624309392265,0.33046187683284456,1.0126913129274155,0.003994814321907181,1.00618551013093
25,TREAT ORAL_0,LONG COVID_1,0.9685303867403315,0.32632044198895027,0.32008839779005527,0.330488750969744,1.0127736679792034,0.004037133909221335,1.006225898350224
26,"TREAT MONO_0, BIRTH GENDER_F, CURRENT GENDER_F, BOOSTER_1",LONG COVID_1,0.36534806629834254,0.32632044198895027,0.12304972375690608,0.3368013549479797,1.0321184688741758,0.0038291812826226346,1.0158035801749976
27,"BOOSTER_1, CURRENT GENDER_F, BIRTH GENDER_F",LONG COVID_1,0.36791160220994473,0.32632044198895027,0.12397790055248618,0.336977414704469,1.0326579991451459,0.0039208239064741635,1.0160733177901755
28,"VACCINATED_1, CURRENT GENDER_F, BIRTH GENDER_F, BOOSTER_1",LONG COVID_1,0.36791160220994473,0.32632044198895027,0.12397790055248618,0.336977414704469,1.0326579991451459,0.0039208239064741635,1.0160733177901755
29,"TREAT MONO_0, CURRENT GENDER_F, BOOSTER_1",LONG COVID_1,0.3657900552486188,0.32632044198895027,0.1232707182320442,0.3369985500241663,1.0327227677497985,0.0039059457281523796,1.016105708419801
